company_id,company_name,doctype,reference,currency,voucher,inv_date,due_date,open_amt_tc,open_amt_bc,current,months1,months2,months3
V50012,Company A LTD,CREDITNOTE,478,USD,BFS030OB/000000057,2014-11-03,2014-12-30,263.52,263.52,0.0,0.0,0.0,263.52
V50012,CARGO SAFETRAVEL LTD,INVOICE,J1062628/1,USD,BFS026/000001137,2019-03-30,2019-03-30,-102.0,-102.0,0.0,-102.0,0.0,0.0
V50012,CARGO SAFETRAVEL LTD,INVOICE,J1062638/1,USD,BFS026/000001136,2019-02-28,2019-03-15,-204.0,-204.0,0.0,-204.0,0.0,0.0
V50014,ChaseB REGISTER USDA,INVOICE,110-135633,USD,BFS026/000001064,2019-02-05,2019-04-29,-4665.0,-4665.0,-4665.0,0.0,0.0,0.0
V50015,METALS CHEMICALS GROUP LIMITED,INVOICE,SI191433,USD,BFS026/000000908,2019-02-12,2019-03-30,-198.0,-198.0,0.0,-198.0,0.0,0.0
V50017,IMPUTED SOFTWARE LTD,INVOICE,90582944,USD,BFS026/000000603,2019-02-05,2019-03-30,-506.4,-506.4,0.0,-506.4,0.0,0.0
V50017,IMPUTED SOFTWARE LTD,INVOICE,90594293,USD,BFS026/000001002,2019-03-04,2019-04-30,-441.6,-441.6,-441.6,0.0,0.0,0.0
V50018,DHL INTL (UK) LTD,CREDITNOTE,BFS0426957,USD,BFS030/000000105,2017-05-17,2017-06-30,7.61,7.61,0.0,0.0,0.0,7.61
V50018,DHL INTL (UK) LTD,CREDITNOTE,BFS1948556,USD,BFS030/000000179,2018-10-24,2018-11-30,25.96,25.96,0.0,0.0,0.0,25.96
V50018,DHL INTL (UK) LTD,CREDITNOTE,BFS7617892,USD,BFS030OB/000000013,2013-04-28,2013-05-30,1221.71,1221.71,0.0,0.0,0.0,1221.71
V50018,DHL INTL (UK) LTD,CREDITNOTE,BFS8767586,USD,BFS030OB/000000019,2015-06-30,2015-07-30,41.64,41.64,0.0,0.0,0.0,41.64
V50018,DHL INTL (UK) LTD,INVOICE,AVI6753246,USD,BFS026/000000871,2019-02-19,2019-03-30,-25.0,-25.0,0.0,-25.0,0.0,0.0
V50018,DHL INTL (UK) LTD,INVOICE,AVI6783120,USD,BFS026/000001131,2019-02-28,2019-02-28,-25.0,-25.0,0.0,0.0,-25.0,0.0
V50018,DHL INTL (UK) LTD,INVOICE,AVI6790539,USD,BFS026/000001129,2019-02-28,2019-02-28,-75.0,-75.0,0.0,0.0,-75.0,0.0
V50018,DHL INTL (UK) LTD,INVOICE,AVI6802023,USD,BFS026/000001139,2019-03-07,2019-03-07,-25.0,-25.0,0.0,-25.0,0.0,0.0
V50018,DHL INTL (UK) LTD,INVOICE,AVI6842309,USD,BFS026/000001144,2019-03-19,2019-03-19,-25.0,-25.0,0.0,-25.0,0.0,0.0
V50018,DHL INTL (UK) LTD,INVOICE,BFS2005722,USD,BFS026/000004094,2018-11-06,2018-12-30,-34.19,-34.19,0.0,0.0,0.0,-34.19
V50018,DHL INTL (UK) LTD,INVOICE,BFS2266934,USD,BFS026/000000875,2019-02-11,2019-03-30,-110.82,-110.82,0.0,-110.82,0.0,0.0
V50018,DHL INTL (UK) LTD,INVOICE,BFS2286442,USD,BFS026/000000872,2019-02-18,2019-03-30,-16.46,-16.46,0.0,-16.46,0.0,0.0
V50018,DHL INTL (UK) LTD,INVOICE,BFS2304854,USD,BFS026/000000870,2019-02-26,2019-03-30,-142.1,-142.1,0.0,-142.1,0.0,0.0
V50018,DHL INTL (UK) LTD,INVOICE,BFS2323700,USD,BFS026/000001132,2019-02-28,2019-02-28,-16.46,-16.46,0.0,0.0,-16.46,0.0
V50018,DHL INTL (UK) LTD,INVOICE,BFS2344639,USD,BFS026/000001140,2019-03-11,2019-03-11,-149.02,-149.02,0.0,-149.02,0.0,0.0
V50018,DHL INTL (UK) LTD,INVOICE,BFS2363299,USD,BFS026/000001141,2019-03-18,2019-03-18,-274.74,-274.74,0.0,-274.74,0.0,0.0
V50018,DHL INTL (UK) LTD,INVOICE,BFS7893249,USD,BFS026OB/000000007,2014-01-28,2014-03-02,-428.32,-428.32,0.0,0.0,0.0,-428.32
V50018,DHL INTL (UK) LTD,INVOICE,BFS7955137,USD,BFS026OB/000000062,2014-03-28,2014-04-30,-198.24,-198.24,0.0,0.0,0.0,-198.24
V50018,DHL INTL (UK) LTD,INVOICE,BFS8327861,USD,BFS026OB/000001499,2014-11-24,2014-12-30,-86.29,-86.29,0.0,0.0,0.0,-86.29
V50018,DHL INTL (UK) LTD,INVOICE,BFS8342243,USD,BFS026OB/000000010,2014-11-28,2014-12-30,-31.04,-31.04,0.0,0.0,0.0,-31.04
V50018,DHL INTL (UK) LTD,INVOICE,BFS8362898,USD,BFS026OB/000000009,2014-12-08,2015-01-30,-301.58,-301.58,0.0,0.0,0.0,-301.58
V50018,DHL INTL (UK) LTD,INVOICE,BFS8375502,USD,BFS026OB/000001506,2014-12-15,2015-01-30,-225.0,-225.0,0.0,0.0,0.0,-225.0
V50018,DHL INTL (UK) LTD,INVOICE,BFS8388875,USD,BFS026OB/000001508,2014-12-22,2015-01-30,-357.82,-357.82,0.0,0.0,0.0,-357.82
V50018,DHL INTL (UK) LTD,INVOICE,BFS8402347,USD,BFS026OB/000001509,2014-12-29,2015-01-30,-222.48,-222.48,0.0,0.0,0.0,-222.48
V50018,DHL INTL (UK) LTD,INVOICE,BFS8414014,USD,BFS026OB/000000001,2014-12-28,2015-01-30,-25.31,-25.31,0.0,0.0,0.0,-25.31
V50018,DHL INTL (UK) LTD,INVOICE,BFS8647272,USD,BFS026OB/000000049,2015-04-28,2015-05-30,-217.55,-217.55,0.0,0.0,0.0,-217.55
V50018,DHL INTL (UK) LTD,INVOICE,BFS8728375,USD,BFS026OB/000000075,2015-06-09,2015-07-30,-252.82,-252.82,0.0,0.0,0.0,-252.82
V50018,DHL INTL (UK) LTD,INVOICE,BFS9004398,USD,BFS026/000000279,2015-10-20,2015-11-30,-143.56,-143.56,0.0,0.0,0.0,-143.56
